epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4628773629665375,9.999999747378752e-05,2.2295844554901123,0.6568807363510132,1.1652584075927734
1,0.6329039335250854,9.999999747378752e-05,1.3901482820510864,0.7032110095024109,0.9404886960983276
2,0.6937751770019531,9.999999747378752e-05,1.13303804397583,0.7339449524879456,0.8440734148025513
3,0.7373389601707458,9.999999747378752e-05,1.0034795999526978,0.7798165082931519,0.7213348746299744
4,0.7602517604827881,9.999999747378752e-05,0.9117246866226196,0.7669724822044373,0.7469558715820312
5,0.7752974629402161,9.999999747378752e-05,0.8581831455230713,0.7958715558052063,0.6381707787513733
6,0.7946701049804688,9.999999747378752e-05,0.7771151661872864,0.8279816508293152,0.5678801536560059
7,0.8126659393310547,9.999999747378752e-05,0.7287240028381348,0.8568807244300842,0.4885232746601105
8,0.8143376708030701,9.999999747378752e-05,0.7017326354980469,0.8472477197647095,0.5126859545707703
9,0.8286950588226318,9.999999747378752e-05,0.6761248707771301,0.8568807244300842,0.46967700123786926
10,0.8262366056442261,9.999999747378752e-05,0.6726348400115967,0.8674311637878418,0.4476091265678406
11,0.8428557515144348,9.999999747378752e-05,0.609641969203949,0.8807339668273926,0.42835548520088196
12,0.8477726578712463,9.999999747378752e-05,0.5909895300865173,0.8935779929161072,0.39677074551582336
13,0.8567214012145996,9.999999747378752e-05,0.5845080614089966,0.8770642280578613,0.43405818939208984
14,0.858393132686615,9.999999747378752e-05,0.5575631856918335,0.8733944892883301,0.4237164556980133
15,0.8699970245361328,9.999999747378752e-05,0.5237275958061218,0.8986238241195679,0.3760565221309662
16,0.8668502569198608,9.999999747378752e-05,0.5510163307189941,0.9027522802352905,0.36723896861076355
17,0.867341935634613,9.999999747378752e-05,0.5375257134437561,0.905504584312439,0.3598611354827881
18,0.8750122785568237,9.999999747378752e-05,0.5053033232688904,0.9027522802352905,0.3489629030227661
19,0.8743239045143127,9.999999747378752e-05,0.5123229622840881,0.9064220190048218,0.3573019802570343
20,0.8786507844924927,9.999999747378752e-05,0.4966678023338318,0.9050458669662476,0.35601362586021423
21,0.8794375061988831,9.999999747378752e-05,0.4969348609447479,0.9022935628890991,0.3645022511482239
22,0.8776674270629883,9.999999747378752e-05,0.46974408626556396,0.8958715796470642,0.37010759115219116
23,0.8866161704063416,9.999999747378752e-05,0.46886417269706726,0.9192660450935364,0.3013997972011566
24,0.8854361176490784,9.999999747378752e-05,0.47302794456481934,0.9110091924667358,0.3301219344139099
25,0.8870095610618591,9.999999747378752e-05,0.4675004482269287,0.9068807363510132,0.34027099609375
26,0.8884845972061157,9.999999747378752e-05,0.4489916265010834,0.9073394536972046,0.35436755418777466
27,0.8877962231636047,9.999999747378752e-05,0.44351860880851746,0.8949541449546814,0.3619566559791565
28,0.8941882252693176,9.999999747378752e-05,0.42793163657188416,0.8986238241195679,0.35769954323768616
29,0.9027436375617981,4.999999873689376e-05,0.4010685384273529,0.918807327747345,0.29663270711898804
30,0.8966466784477234,4.999999873689376e-05,0.4190906584262848,0.921100914478302,0.28783556818962097
31,0.8994001150131226,4.999999873689376e-05,0.41249707341194153,0.9224770665168762,0.2987317740917206
32,0.9023503065109253,4.999999873689376e-05,0.4023977518081665,0.9256880879402161,0.2891607880592346
33,0.8987118005752563,4.999999873689376e-05,0.4008656442165375,0.9215596318244934,0.28663718700408936
34,0.9052020907402039,4.999999873689376e-05,0.40144479274749756,0.9215596318244934,0.28741365671157837
35,0.9065788388252258,4.999999873689376e-05,0.37992462515830994,0.9229357838630676,0.2857951521873474
36,0.9046120643615723,4.999999873689376e-05,0.39146751165390015,0.9178898930549622,0.28500643372535706
37,0.905693769454956,4.999999873689376e-05,0.3841930627822876,0.9192660450935364,0.28610876202583313
38,0.9074638485908508,4.999999873689376e-05,0.37042513489723206,0.9201834797859192,0.28435829281806946
39,0.9101189970970154,4.999999873689376e-05,0.3854382336139679,0.9192660450935364,0.28466281294822693
40,0.9089389443397522,4.999999873689376e-05,0.36744019389152527,0.9220183491706848,0.29767096042633057
41,0.9140524864196777,4.999999873689376e-05,0.36270347237586975,0.9256880879402161,0.2627337872982025
42,0.9087422490119934,4.999999873689376e-05,0.37936174869537354,0.9160550236701965,0.28683310747146606
