epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7805755138397217,9.999999747378752e-05,1.0242892503738403,0.8288590312004089,0.5193661451339722
1,0.8482014536857605,9.999999747378752e-05,0.6653493046760559,0.8355704545974731,0.497588187456131
2,0.8827338218688965,9.999999747378752e-05,0.5387945771217346,0.8892617225646973,0.4031048119068146
3,0.8834532499313354,9.999999747378752e-05,0.5449085831642151,0.8255033493041992,0.5732442140579224
4,0.8985611796379089,9.999999747378752e-05,0.46667250990867615,0.8221476674079895,0.5581952333450317
5,0.9143884778022766,9.999999747378752e-05,0.4256340563297272,0.8255033493041992,0.610966682434082
6,0.9158273339271545,9.999999747378752e-05,0.4143092632293701,0.8557047247886658,0.5351282954216003
7,0.9201439023017883,9.999999747378752e-05,0.4357873201370239,0.8758389353752136,0.5179443955421448
8,0.9208633303642273,4.999999873689376e-05,0.3744194209575653,0.8892617225646973,0.4762605130672455
9,0.9172661900520325,4.999999873689376e-05,0.40027523040771484,0.8758389353752136,0.5328901410102844
10,0.9194244742393494,4.999999873689376e-05,0.39705216884613037,0.8892617225646973,0.5197862982749939
11,0.9381294846534729,4.999999873689376e-05,0.3392336964607239,0.8758389353752136,0.5546248555183411
12,0.9215827584266663,4.999999873689376e-05,0.39128759503364563,0.8724831938743591,0.541338324546814
