epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6496402621269226,0.0010000000474974513,1.3059337139129639,0.6778523325920105,0.7680168747901917
1,0.7719424366950989,0.0010000000474974513,0.9039878249168396,0.6778523325920105,1.3460372686386108
2,0.8050359487533569,0.0010000000474974513,0.7739303708076477,0.6778523325920105,1.192246675491333
3,0.8266187310218811,0.0010000000474974513,0.6965651512145996,0.6778523325920105,0.7395203709602356
4,0.8553956747055054,0.0010000000474974513,0.6524897217750549,0.6778523325920105,1.6214382648468018
5,0.8719424605369568,0.0010000000474974513,0.5655139684677124,0.9295302033424377,0.24939420819282532
6,0.8870503306388855,0.0010000000474974513,0.5158212184906006,0.7348993420600891,1.0793730020523071
7,0.9035971164703369,0.0010000000474974513,0.512124240398407,0.9127516746520996,0.3087759017944336
8,0.8892086148262024,0.0010000000474974513,0.5340178608894348,0.7651006579399109,0.9504397511482239
9,0.8913668990135193,0.0010000000474974513,0.5009207725524902,0.8859060406684875,0.3748791515827179
10,0.8834532499313354,0.0010000000474974513,0.5380254983901978,0.9597315192222595,0.20530934631824493
11,0.9136690497398376,0.0010000000474974513,0.45978423953056335,0.5872483253479004,1.7025460004806519
12,0.902158260345459,0.0010000000474974513,0.4629061818122864,0.9496644139289856,0.2180311679840088
13,0.8949640393257141,0.0010000000474974513,0.4933708906173706,0.926174521446228,0.2716909348964691
14,0.9136690497398376,0.0010000000474974513,0.4386363923549652,0.9161073565483093,0.24366511404514313
15,0.9129496216773987,0.0010000000474974513,0.4149635434150696,0.6711409687995911,0.7723344564437866
16,0.9187050461769104,0.0005000000237487257,0.39943093061447144,0.9731543660163879,0.15238440036773682
17,0.9143884778022766,0.0005000000237487257,0.41441431641578674,0.9798657894134521,0.133602574467659
18,0.9165467619895935,0.0005000000237487257,0.4039597809314728,0.9597315192222595,0.19521193206310272
19,0.9302158355712891,0.0005000000237487257,0.3908560872077942,0.9731543660163879,0.13915415108203888
20,0.9230215549468994,0.0005000000237487257,0.38807305693626404,0.9798657894134521,0.13473987579345703
21,0.9208633303642273,0.0005000000237487257,0.37089625000953674,0.9127516746520996,0.2808384597301483
22,0.9151079058647156,0.0005000000237487257,0.3948841094970703,0.9530201554298401,0.1814229041337967
23,0.9330935478210449,0.0002500000118743628,0.3387886881828308,0.9765100479125977,0.15382100641727448
24,0.9215827584266663,0.0002500000118743628,0.39541736245155334,0.9731543660163879,0.17061138153076172
25,0.9223021864891052,0.0002500000118743628,0.4050726294517517,0.9093959927558899,0.28127041459083557
26,0.9273381233215332,0.0002500000118743628,0.324074923992157,0.9530201554298401,0.16466033458709717
27,0.9345323443412781,0.0002500000118743628,0.32901087403297424,0.8255033493041992,0.5067529082298279
