epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.808571457862854,0.0010000000474974513,0.6115564703941345,0.5,0.8633973002433777
1,0.918571412563324,0.0010000000474974513,0.3472033143043518,0.5,0.8673262596130371
2,0.9399999976158142,0.0010000000474974513,0.3001970052719116,0.5,1.1271967887878418
3,0.9357143044471741,0.0010000000474974513,0.31995874643325806,0.5600000023841858,1.0635250806808472
4,0.9371428489685059,0.0010000000474974513,0.2890178859233856,0.5,2.124384880065918
5,0.9528571367263794,0.0010000000474974513,0.26813825964927673,0.5133333206176758,2.3201887607574463
6,0.9557142853736877,0.0005000000237487257,0.26172786951065063,0.7266666889190674,1.1299937963485718
7,0.9528571367263794,0.0005000000237487257,0.2602595090866089,0.746666669845581,0.8833831548690796
8,0.9642857313156128,0.0005000000237487257,0.23121868073940277,0.699999988079071,1.072582483291626
9,0.9585714340209961,0.0005000000237487257,0.2525530755519867,0.6733333468437195,0.9642840623855591
10,0.9457142949104309,0.0005000000237487257,0.2977917790412903,0.95333331823349,0.2790166437625885
11,0.9585714340209961,0.0005000000237487257,0.2603520154953003,0.8933333158493042,0.42511245608329773
12,0.9557142853736877,0.0005000000237487257,0.25353682041168213,0.9133333563804626,0.31061339378356934
13,0.9471428394317627,0.0005000000237487257,0.25158894062042236,0.9599999785423279,0.19832025468349457
14,0.9671428799629211,0.0005000000237487257,0.24101056158542633,0.9399999976158142,0.2415253221988678
15,0.9671428799629211,0.0005000000237487257,0.21248364448547363,0.9800000190734863,0.17747530341148376
16,0.9685714244842529,0.0005000000237487257,0.20168334245681763,0.9733333587646484,0.17123401165008545
17,0.9614285826683044,0.0005000000237487257,0.21351313591003418,0.9666666388511658,0.22290675342082977
18,0.9585714340209961,0.0005000000237487257,0.23191125690937042,0.9733333587646484,0.18798702955245972
19,0.9599999785423279,0.0005000000237487257,0.224227637052536,0.9800000190734863,0.15244196355342865
20,0.9657142758369446,0.0005000000237487257,0.2038811445236206,0.9933333396911621,0.16276027262210846
21,0.9614285826683044,0.0005000000237487257,0.21049095690250397,0.9800000190734863,0.1792011857032776
22,0.9685714244842529,0.0005000000237487257,0.19940219819545746,0.9933333396911621,0.15826521813869476
23,0.9728571176528931,0.0005000000237487257,0.1981486678123474,1.0,0.14533787965774536
24,0.977142870426178,0.0005000000237487257,0.18666976690292358,0.9933333396911621,0.15479274094104767
25,0.9857142567634583,0.0005000000237487257,0.15949410200119019,0.9800000190734863,0.16187958419322968
26,0.9642857313156128,0.0005000000237487257,0.20570756494998932,0.9866666793823242,0.14658932387828827
27,0.9800000190734863,0.0005000000237487257,0.19218939542770386,0.95333331823349,0.21539510786533356
28,0.9757142663002014,0.0005000000237487257,0.16306927800178528,0.9800000190734863,0.16422119736671448
29,0.9757142663002014,0.0002500000118743628,0.16807614266872406,0.9933333396911621,0.146907776594162
30,0.9814285635948181,0.0002500000118743628,0.16957280039787292,0.9733333587646484,0.15624189376831055
31,0.9885714054107666,0.0002500000118743628,0.15190325677394867,0.9866666793823242,0.1461009979248047
32,0.9814285635948181,0.0002500000118743628,0.16060104966163635,0.9933333396911621,0.149289071559906
33,0.9742857217788696,0.0002500000118743628,0.17399026453495026,0.9133333563804626,0.27119705080986023
